"","id","Resample","variable","value"
"253","Raw","Fold05.Rep1","LDA~Accuracy",0.628282828282828
"254","Raw","Fold05.Rep2","LDA~Accuracy",0.651911468812877
"255","Raw","Fold05.Rep3","LDA~Accuracy",0.640562248995984
"256","Raw","Fold06.Rep1","LDA~Accuracy",0.64989939637827
"257","Raw","Fold06.Rep2","LDA~Accuracy",0.641129032258065
"258","Raw","Fold06.Rep3","LDA~Accuracy",0.645875251509054
"259","Raw","Fold07.Rep1","LDA~Accuracy",0.662650602409639
"260","Raw","Fold07.Rep2","LDA~Accuracy",0.674044265593561
"261","Raw","Fold07.Rep3","LDA~Accuracy",0.644578313253012
"262","Raw","Fold08.Rep1","LDA~Accuracy",0.643863179074447
"263","Raw","Fold08.Rep2","LDA~Accuracy",0.63855421686747
"264","Raw","Fold08.Rep3","LDA~Accuracy",0.682730923694779
"265","Raw","Fold09.Rep1","LDA~Accuracy",0.653225806451613
"266","Raw","Fold09.Rep2","LDA~Accuracy",0.63855421686747
"267","Raw","Fold09.Rep3","LDA~Accuracy",0.660642570281124
"268","Raw","Fold10.Rep1","LDA~Accuracy",0.645875251509054
"269","Raw","Fold10.Rep2","LDA~Accuracy",0.65863453815261
"270","Raw","Fold10.Rep3","LDA~Accuracy",0.622222222222222
"271","PCA","Fold01.Rep1","LDA~Accuracy",0.631790744466801
"272","PCA","Fold01.Rep2","LDA~Accuracy",0.663983903420523
"273","PCA","Fold01.Rep3","LDA~Accuracy",0.663983903420523
"274","PCA","Fold02.Rep1","LDA~Accuracy",0.672690763052209
"275","PCA","Fold02.Rep2","LDA~Accuracy",0.645875251509054
"276","PCA","Fold02.Rep3","LDA~Accuracy",0.675403225806452
"277","PCA","Fold03.Rep1","LDA~Accuracy",0.644578313253012
"278","PCA","Fold03.Rep2","LDA~Accuracy",0.641129032258065
"279","PCA","Fold03.Rep3","LDA~Accuracy",0.622489959839357
"280","PCA","Fold04.Rep1","LDA~Accuracy",0.652610441767068
"281","PCA","Fold04.Rep2","LDA~Accuracy",0.645875251509054
"282","PCA","Fold04.Rep3","LDA~Accuracy",0.610887096774194
"283","PCA","Fold05.Rep1","LDA~Accuracy",0.626262626262626
"284","PCA","Fold05.Rep2","LDA~Accuracy",0.6579476861167
"285","PCA","Fold05.Rep3","LDA~Accuracy",0.604417670682731
"286","PCA","Fold06.Rep1","LDA~Accuracy",0.670020120724346
"287","PCA","Fold06.Rep2","LDA~Accuracy",0.655241935483871
"288","PCA","Fold06.Rep3","LDA~Accuracy",0.645875251509054
"289","PCA","Fold07.Rep1","LDA~Accuracy",0.630522088353414
"290","PCA","Fold07.Rep2","LDA~Accuracy",0.635814889336016
"291","PCA","Fold07.Rep3","LDA~Accuracy",0.674698795180723
"292","PCA","Fold08.Rep1","LDA~Accuracy",0.663983903420523
"293","PCA","Fold08.Rep2","LDA~Accuracy",0.630522088353414
"294","PCA","Fold08.Rep3","LDA~Accuracy",0.678714859437751
"295","PCA","Fold09.Rep1","LDA~Accuracy",0.647177419354839
"296","PCA","Fold09.Rep2","LDA~Accuracy",0.644578313253012
"297","PCA","Fold09.Rep3","LDA~Accuracy",0.670682730923695
"298","PCA","Fold10.Rep1","LDA~Accuracy",0.659959758551308
"299","PCA","Fold10.Rep2","LDA~Accuracy",0.670682730923695
"300","PCA","Fold10.Rep3","LDA~Accuracy",0.64040404040404
"301","Raw","Fold01.Rep1","RF~Accuracy",0.839034205231388
"302","Raw","Fold01.Rep2","RF~Accuracy",0.86144578313253
"303","Raw","Fold01.Rep3","RF~Accuracy",0.837349397590361
"304","Raw","Fold02.Rep1","RF~Accuracy",0.832997987927565
"305","Raw","Fold02.Rep2","RF~Accuracy",0.798792756539235
"306","Raw","Fold02.Rep3","RF~Accuracy",0.816532258064516
"307","Raw","Fold03.Rep1","RF~Accuracy",0.843058350100604
"308","Raw","Fold03.Rep2","RF~Accuracy",0.853118712273642
"309","Raw","Fold03.Rep3","RF~Accuracy",0.862903225806452
"310","Raw","Fold04.Rep1","RF~Accuracy",0.849397590361446
"311","Raw","Fold04.Rep2","RF~Accuracy",0.826961770623742
"312","Raw","Fold04.Rep3","RF~Accuracy",0.812877263581489
"313","Raw","Fold05.Rep1","RF~Accuracy",0.791164658634538
"314","Raw","Fold05.Rep2","RF~Accuracy",0.837349397590361
"315","Raw","Fold05.Rep3","RF~Accuracy",0.82258064516129
"316","Raw","Fold06.Rep1","RF~Accuracy",0.832661290322581
"317","Raw","Fold06.Rep2","RF~Accuracy",0.818913480885312
"318","Raw","Fold06.Rep3","RF~Accuracy",0.843373493975904
"319","Raw","Fold07.Rep1","RF~Accuracy",0.814889336016097
"320","Raw","Fold07.Rep2","RF~Accuracy",0.850806451612903
"321","Raw","Fold07.Rep3","RF~Accuracy",0.798792756539235
"322","Raw","Fold08.Rep1","RF~Accuracy",0.848790322580645
"323","Raw","Fold08.Rep2","RF~Accuracy",0.790744466800805
"324","Raw","Fold08.Rep3","RF~Accuracy",0.867469879518072
"325","Raw","Fold09.Rep1","RF~Accuracy",0.847082494969819
"326","Raw","Fold09.Rep2","RF~Accuracy",0.804828973843058
"327","Raw","Fold09.Rep3","RF~Accuracy",0.826961770623742
"328","Raw","Fold10.Rep1","RF~Accuracy",0.803212851405622
"329","Raw","Fold10.Rep2","RF~Accuracy",0.822937625754527
"330","Raw","Fold10.Rep3","RF~Accuracy",0.827309236947791
"331","PCA","Fold01.Rep1","RF~Accuracy",0.746987951807229
"332","PCA","Fold01.Rep2","RF~Accuracy",0.750503018108652
"333","PCA","Fold01.Rep3","RF~Accuracy",0.744979919678715
"334","PCA","Fold02.Rep1","RF~Accuracy",0.72635814889336
"335","PCA","Fold02.Rep2","RF~Accuracy",0.786290322580645
"336","PCA","Fold02.Rep3","RF~Accuracy",0.744979919678715
"337","PCA","Fold03.Rep1","RF~Accuracy",0.754032258064516
"338","PCA","Fold03.Rep2","RF~Accuracy",0.738955823293173
"339","PCA","Fold03.Rep3","RF~Accuracy",0.736947791164659
"340","PCA","Fold04.Rep1","RF~Accuracy",0.741935483870968
"341","PCA","Fold04.Rep2","RF~Accuracy",0.714285714285714
"342","PCA","Fold04.Rep3","RF~Accuracy",0.740442655935614
"343","PCA","Fold05.Rep1","RF~Accuracy",0.742454728370221
"344","PCA","Fold05.Rep2","RF~Accuracy",0.740963855421687
"345","PCA","Fold05.Rep3","RF~Accuracy",0.746478873239437
"346","PCA","Fold06.Rep1","RF~Accuracy",0.756539235412475
"347","PCA","Fold06.Rep2","RF~Accuracy",0.782258064516129
"348","PCA","Fold06.Rep3","RF~Accuracy",0.72635814889336
"349","PCA","Fold07.Rep1","RF~Accuracy",0.770623742454728
"350","PCA","Fold07.Rep2","RF~Accuracy",0.77710843373494
"351","PCA","Fold07.Rep3","RF~Accuracy",0.782696177062374
"352","PCA","Fold08.Rep1","RF~Accuracy",0.755020080321285
"353","PCA","Fold08.Rep2","RF~Accuracy",0.770161290322581
"354","PCA","Fold08.Rep3","RF~Accuracy",0.781124497991968
"355","PCA","Fold09.Rep1","RF~Accuracy",0.773092369477912
"356","PCA","Fold09.Rep2","RF~Accuracy",0.734939759036145
"357","PCA","Fold09.Rep3","RF~Accuracy",0.713709677419355
"358","PCA","Fold10.Rep1","RF~Accuracy",0.764587525150905
"359","PCA","Fold10.Rep2","RF~Accuracy",0.714285714285714
"360","PCA","Fold10.Rep3","RF~Accuracy",0.761616161616162
